appid,game_name,concurrent_players,collected_at
271590,Grand Theft Auto V,117206,2025-12-30 16:02:55.630606
1811260,EA SPORTS FC™ 26,959,2025-12-30 16:02:55.630606
730,Counter-Strike 2,1339478,2025-12-30 16:02:55.630606
578080,PUBG: Battlegrounds,419311,2025-12-30 16:02:55.630606
1172470,Apex Legends,111926,2025-12-30 16:02:55.630606
570,Dota 2,749202,2025-12-30 16:02:55.630606
1778820,TEKKEN 8,6949,2025-12-30 16:02:55.630606
271590,Grand Theft Auto V,117206,2025-12-30 16:12:56.443904
1811260,EA SPORTS FC™ 26,959,2025-12-30 16:12:56.443904
730,Counter-Strike 2,1339478,2025-12-30 16:12:56.443904
578080,PUBG: Battlegrounds,419311,2025-12-30 16:12:56.443904
1172470,Apex Legends,111926,2025-12-30 16:12:56.443904
570,Dota 2,749202,2025-12-30 16:12:56.443904
1778820,TEKKEN 8,6949,2025-12-30 16:12:56.443904
271590,Grand Theft Auto V,116597,2025-12-30 16:22:59.090921
1811260,EA SPORTS FC™ 26,988,2025-12-30 16:22:59.090921
730,Counter-Strike 2,1324806,2025-12-30 16:22:59.090921
578080,PUBG: Battlegrounds,375599,2025-12-30 16:22:59.090921
1172470,Apex Legends,101223,2025-12-30 16:22:59.090921
570,Dota 2,739080,2025-12-30 16:22:59.090921
1778820,TEKKEN 8,6793,2025-12-30 16:22:59.090921
271590,Grand Theft Auto V,116597,2025-12-30 16:33:02.339530
1811260,EA SPORTS FC™ 26,988,2025-12-30 16:33:02.339530
730,Counter-Strike 2,1308337,2025-12-30 16:33:02.339530
578080,PUBG: Battlegrounds,375599,2025-12-30 16:33:02.339530
1172470,Apex Legends,101223,2025-12-30 16:33:02.339530
570,Dota 2,739080,2025-12-30 16:33:02.339530
1778820,TEKKEN 8,6793,2025-12-30 16:33:02.339530
271590,Grand Theft Auto V,116494,2025-12-30 16:43:04.937945
1811260,EA SPORTS FC™ 26,967,2025-12-30 16:43:04.937945
730,Counter-Strike 2,1308337,2025-12-30 16:43:04.937945
578080,PUBG: Battlegrounds,344713,2025-12-30 16:43:04.937945
1172470,Apex Legends,93103,2025-12-30 16:43:04.937945
570,Dota 2,732740,2025-12-30 16:43:04.937945
1778820,TEKKEN 8,6755,2025-12-30 16:43:04.937945
271590,Grand Theft Auto V,116494,2025-12-30 16:53:08.259159
1811260,EA SPORTS FC™ 26,967,2025-12-30 16:53:08.259159
730,Counter-Strike 2,1295915,2025-12-30 16:53:08.259159
578080,PUBG: Battlegrounds,344713,2025-12-30 16:53:08.259159
1172470,Apex Legends,93103,2025-12-30 16:53:08.259159
570,Dota 2,732740,2025-12-30 16:53:08.259159
1778820,TEKKEN 8,6755,2025-12-30 16:53:08.259159
271590,Grand Theft Auto V,115954,2025-12-30 17:03:11.036462
1811260,EA SPORTS FC™ 26,988,2025-12-30 17:03:11.036462
730,Counter-Strike 2,1295915,2025-12-30 17:03:11.036462
